game_number,game_date,day_of_week,game_time_local,is_home_game,venue,series_number,day_night,home,away,home_game_number
140,2021-09-06,Mon,04:10 PM,0,Minute Maid Park,1,night,Houston Astros,Seattle Mariners,
141,2021-09-07,Tue,05:10 PM,0,Minute Maid Park,2,night,Houston Astros,Seattle Mariners,
142,2021-09-08,Wed,11:10 AM,0,Minute Maid Park,3,day,Houston Astros,Seattle Mariners,
143,2021-09-10,Fri,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Arizona Diamondbacks,70
144,2021-09-11,Sat,06:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Arizona Diamondbacks,71
145,2021-09-12,Sun,01:10 PM,1,T-Mobile Park,3,day,Seattle Mariners,Arizona Diamondbacks,72
146,2021-09-13,Mon,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Boston Red Sox,73
147,2021-09-14,Tue,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Boston Red Sox,74
148,2021-09-15,Wed,01:10 PM,1,T-Mobile Park,3,day,Seattle Mariners,Boston Red Sox,75
149,2021-09-17,Fri,05:10 PM,0,Kauffman Stadium,1,night,Kansas City Royals,Seattle Mariners,
150,2021-09-18,Sat,04:10 PM,0,Kauffman Stadium,2,night,Kansas City Royals,Seattle Mariners,
151,2021-09-19,Sun,11:10 AM,0,Kauffman Stadium,3,day,Kansas City Royals,Seattle Mariners,
152,2021-09-20,Mon,06:40 PM,0,Oakland Coliseum,1,night,Oakland Athletics,Seattle Mariners,
153,2021-09-21,Tue,06:40 PM,0,Oakland Coliseum,2,night,Oakland Athletics,Seattle Mariners,
154,2021-09-22,Wed,06:40 PM,0,Oakland Coliseum,3,night,Oakland Athletics,Seattle Mariners,
155,2021-09-23,Thu,12:37 PM,0,Oakland Coliseum,4,day,Oakland Athletics,Seattle Mariners,
156,2021-09-24,Fri,06:38 PM,0,Angel Stadium,1,night,Los Angeles Angels,Seattle Mariners,
157,2021-09-25,Sat,06:07 PM,0,Angel Stadium,2,night,Los Angeles Angels,Seattle Mariners,
158,2021-09-26,Sun,01:07 PM,0,Angel Stadium,3,day,Los Angeles Angels,Seattle Mariners,
159,2021-09-27,Mon,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Oakland Athletics,76
160,2021-09-28,Tue,07:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Oakland Athletics,77
161,2021-09-29,Wed,07:10 PM,1,T-Mobile Park,3,night,Seattle Mariners,Oakland Athletics,78
162,2021-10-01,Fri,07:10 PM,1,T-Mobile Park,1,night,Seattle Mariners,Los Angeles Angels,79
163,2021-10-02,Sat,06:10 PM,1,T-Mobile Park,2,night,Seattle Mariners,Los Angeles Angels,80
164,2021-10-03,Sun,12:10 PM,1,T-Mobile Park,3,day,Seattle Mariners,Los Angeles Angels,81
